source_family,period,title,source_url,index_url,index_page
pbc_m2,2024-07,2024年7月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/8980a8a6f1414f649d3443cc09352c2b/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-4.html,4
pbc_m2,2024-08,2024年8月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/41425ee3179143a29c4656e31b6df3d8/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-3.html,3
pbc_m2,2024-09,2024年前三季度金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/02a6abaaea894de8b591846e295826e6/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-3.html,3
pbc_m2,2024-10,2024年10月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/6a9d1d8c3460445bb190bff0d58e4484/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-3.html,3
pbc_m2,2024-11,2024年11月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/6bfd794fa2a0407d9a1dbddb6fa3f77f/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-3.html,3
pbc_m2,2024-12,2024年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/5fb867cbec1b4772b8f6f98b5d0ede52/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-3.html,3
pbc_m2,2025-02,2025年2月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505068053/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-2.html,2
pbc_m2,2025-03,2025年3月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505039987/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-2.html,2
pbc_m2,2025-04,2025年4月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505010475/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-2.html,2
pbc_m2,2025-05,2025年5月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505081124/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-2.html,2
pbc_m2,2025-06,2025年上半年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025080618505071886/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-2.html,2
pbc_m2,2025-07,2025年7月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2972dbe4d53540e5a9d0b5781c71480d/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/index.html,1
pbc_m2,2025-08,2025年8月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/e3120f58ec724fe1811d9dadf67232d2/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/index.html,1
pbc_m2,2025-09,2025年前三季度金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/dded7449c74144a19171f582bec9ed36/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/index.html,1
pbc_m2,2025-10,2025年10月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/f294561578884c22878d115780ba7c08/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/index.html,1
pbc_m2,2025-11,2025年11月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025121217132789688/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/index.html,1
pbc_m2,2025-12,2025年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026011515015720511/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/index.html,1
